job_id,job_title,industry,location,salary_usd,skills_required,remote_option,company_size,posting_date
72,Renewable Energy Engineer,Green Tech,New York,92067,"Climate Data Analysis, Energy Modeling",No,Medium,2025-01-02
73,Data Scientist,AI,London,249885,"PyTorch, Python",No,Small,2025-05-15
74,Quantum Researcher,Quantum Computing,Singapore,59737,"Quantum Algorithms, Linear Algebra",No,Large,2025-12-03
75,Renewable Energy Engineer,Green Tech,Tokyo,190693,"Climate Data Analysis, Energy Modeling",No,Large,2025-08-16
76,Data Scientist,AI,Dubai,135752,"PyTorch, Python",Yes,Small,2025-05-15
77,Quantum Researcher,Quantum Computing,London,249565,"Quantum Algorithms, Linear Algebra",Yes,Small,2025-04-14
78,Data Scientist,AI,Dubai,89447,"Python, PyTorch",No,Medium,2025-03-13
79,Data Scientist,AI,Dubai,249952,"PyTorch, Python",Yes,Medium,2025-07-03
80,Smart Contract Engineer,Blockchain,New York,161896,"Rust, Solidity",Yes,Medium,2025-08-06
81,Sustainability Analyst,Green Tech,Dubai,195896,"Climate Data Analysis, Energy Modeling",No,Small,2025-04-10
82,Blockchain Developer,Blockchain,New York,166524,"Rust, Ethereum",Yes,Small,2025-07-20
83,Blockchain Developer,Blockchain,Dubai,201048,"Rust, Solidity",Yes,Large,2025-07-17
84,Smart Contract Engineer,Blockchain,Tokyo,141598,"Rust, Ethereum",No,Large,2025-03-26
85,Sustainability Analyst,Green Tech,London,128803,"Climate Data Analysis, Energy Modeling",Yes,Medium,2025-11-23
86,Quantum Software Developer,Quantum Computing,Singapore,100859,"Quantum Algorithms, Linear Algebra",Yes,Small,2025-07-08
87,Quantum Researcher,Quantum Computing,Dubai,236421,"Linear Algebra, Qiskit",Yes,Small,2025-07-17
88,Quantum Software Developer,Quantum Computing,Berlin,182275,"Quantum Algorithms, Linear Algebra",No,Medium,2025-11-22
89,Quantum Software Developer,Quantum Computing,Dubai,229560,"Quantum Algorithms, Qiskit",Yes,Medium,2025-09-20
90,Quantum Software Developer,Quantum Computing,Tokyo,126173,"Qiskit, Quantum Algorithms",No,Medium,2025-02-20
91,Renewable Energy Engineer,Green Tech,Singapore,208192,"Energy Modeling, Climate Data Analysis",No,Small,2025-11-13
92,Sustainability Analyst,Green Tech,Singapore,220796,"Climate Data Analysis, Energy Modeling",No,Medium,2025-06-23
93,Quantum Researcher,Quantum Computing,Dubai,114350,"Linear Algebra, Qiskit",No,Large,2025-12-10
94,Smart Contract Engineer,Blockchain,Dubai,79916,"Ethereum, Solidity",Yes,Small,2025-02-28
95,Smart Contract Engineer,Blockchain,London,187831,"Solidity, Ethereum",No,Medium,2025-07-04
96,Blockchain Developer,Blockchain,Berlin,199549,"Rust, Solidity",Yes,Small,2025-07-26
97,Renewable Energy Engineer,Green Tech,Dubai,62257,"Energy Modeling, Climate Data Analysis",Yes,Small,2025-08-02
98,Smart Contract Engineer,Blockchain,Tokyo,113775,"Solidity, Ethereum",Yes,Medium,2025-06-17
99,Smart Contract Engineer,Blockchain,Tokyo,156267,"Solidity, Ethereum",Yes,Small,2025-06-20
100,AI Engineer,AI,Tokyo,201677,"PyTorch, TensorFlow",No,Large,2025-12-05
101,Data Scientist,AI,New York,147467,"Python, PyTorch",Yes,Small,2025-10-11
102,Smart Contract Engineer,Blockchain,London,247521,"Ethereum, Rust",Yes,Large,2025-10-19
103,ML Researcher,AI,Tokyo,192471,"Python, PyTorch",Yes,Medium,2025-04-25
104,Quantum Researcher,Quantum Computing,London,70638,"Quantum Algorithms, Linear Algebra",No,Large,2025-08-19
105,Smart Contract Engineer,Blockchain,New York,138547,"Solidity, Ethereum",No,Medium,2025-05-07
106,Quantum Researcher,Quantum Computing,Dubai,101188,"Qiskit, Quantum Algorithms",Yes,Small,2025-12-12
107,AI Engineer,AI,Singapore,86671,"PyTorch, TensorFlow",Yes,Large,2025-04-30
108,Quantum Researcher,Quantum Computing,London,134790,"Quantum Algorithms, Linear Algebra",Yes,Small,2025-12-14
109,Renewable Energy Engineer,Green Tech,Dubai,214976,"Climate Data Analysis, Energy Modeling",No,Small,2025-10-31
110,Data Scientist,AI,London,147423,"Python, TensorFlow",Yes,Medium,2025-06-22
111,Sustainability Analyst,Green Tech,Singapore,202836,"Climate Data Analysis, Energy Modeling",No,Large,2025-05-20
112,Quantum Researcher,Quantum Computing,Dubai,93416,"Linear Algebra, Quantum Algorithms",Yes,Medium,2025-08-25
113,Data Scientist,AI,Singapore,98160,"PyTorch, TensorFlow",Yes,Medium,2025-09-13
114,ML Researcher,AI,Tokyo,161667,"TensorFlow, PyTorch",No,Small,2025-09-20
115,Smart Contract Engineer,Blockchain,Tokyo,242785,"Rust, Solidity",No,Small,2025-05-18
116,Quantum Researcher,Quantum Computing,London,212646,"Linear Algebra, Qiskit",No,Medium,2025-07-16
117,ML Researcher,AI,New York,63215,"Python, PyTorch",No,Medium,2025-01-04
118,Smart Contract Engineer,Blockchain,London,86040,"Rust, Solidity",No,Small,2025-03-08
119,Quantum Software Developer,Quantum Computing,Dubai,51023,"Linear Algebra, Qiskit",Yes,Medium,2025-04-14
120,AI Engineer,AI,Dubai,52746,"TensorFlow, Python",No,Medium,2025-09-19
121,Sustainability Analyst,Green Tech,New York,142705,"Energy Modeling, Climate Data Analysis",Yes,Medium,2025-03-14
122,Sustainability Analyst,Green Tech,Berlin,174051,"Climate Data Analysis, Energy Modeling",No,Small,2025-09-06
123,Quantum Software Developer,Quantum Computing,Berlin,202562,"Quantum Algorithms, Qiskit",No,Small,2025-04-19
124,Renewable Energy Engineer,Green Tech,Tokyo,152190,"Climate Data Analysis, Energy Modeling",No,Large,2025-03-12
125,Smart Contract Engineer,Blockchain,London,67821,"Rust, Ethereum",Yes,Large,2025-12-17
126,Quantum Researcher,Quantum Computing,New York,207175,"Linear Algebra, Qiskit",Yes,Large,2025-07-27
127,Renewable Energy Engineer,Green Tech,Singapore,74744,"Energy Modeling, Climate Data Analysis",Yes,Large,2025-12-17
128,Quantum Software Developer,Quantum Computing,Berlin,202805,"Linear Algebra, Quantum Algorithms",No,Medium,2025-03-25
129,Data Scientist,AI,Tokyo,149528,"Python, TensorFlow",Yes,Medium,2025-11-18
130,Sustainability Analyst,Green Tech,London,142226,"Climate Data Analysis, Energy Modeling",No,Medium,2025-09-30
131,Quantum Researcher,Quantum Computing,Berlin,200826,"Qiskit, Linear Algebra",No,Medium,2025-04-27
132,Quantum Software Developer,Quantum Computing,Berlin,104160,"Quantum Algorithms, Linear Algebra",No,Large,2025-06-12
133,AI Engineer,AI,Singapore,229764,"Python, PyTorch",Yes,Large,2025-05-30
134,Quantum Software Developer,Quantum Computing,New York,79013,"Qiskit, Quantum Algorithms",Yes,Small,2025-10-31
135,Quantum Researcher,Quantum Computing,Tokyo,125838,"Qiskit, Linear Algebra",No,Small,2025-01-20
136,ML Researcher,AI,London,207673,"PyTorch, TensorFlow",Yes,Small,2025-12-25
137,Sustainability Analyst,Green Tech,London,233670,"Energy Modeling, Climate Data Analysis",Yes,Small,2025-05-14
138,Blockchain Developer,Blockchain,New York,79886,"Solidity, Ethereum",Yes,Medium,2025-03-28
139,Blockchain Developer,Blockchain,Berlin,148516,"Rust, Ethereum",Yes,Medium,2025-03-20
140,Renewable Energy Engineer,Green Tech,London,84598,"Energy Modeling, Climate Data Analysis",No,Medium,2025-05-07
141,Blockchain Developer,Blockchain,New York,157579,"Solidity, Ethereum",No,Large,2025-11-21
142,AI Engineer,AI,Singapore,151674,"Python, TensorFlow",Yes,Medium,2025-09-01
143,Blockchain Developer,Blockchain,London,245022,"Solidity, Rust",Yes,Small,2025-07-31
144,Renewable Energy Engineer,Green Tech,London,150747,"Energy Modeling, Climate Data Analysis",No,Large,2025-04-29
145,Quantum Researcher,Quantum Computing,Berlin,155555,"Qiskit, Linear Algebra",No,Medium,2025-03-19
146,Smart Contract Engineer,Blockchain,Tokyo,109969,"Solidity, Ethereum",No,Medium,2025-05-29
147,Sustainability Analyst,Green Tech,London,240330,"Climate Data Analysis, Energy Modeling",No,Large,2025-03-13
148,Smart Contract Engineer,Blockchain,Tokyo,115024,"Solidity, Ethereum",Yes,Small,2025-03-02
149,Quantum Researcher,Quantum Computing,Tokyo,243406,"Quantum Algorithms, Linear Algebra",Yes,Large,2025-08-17
150,Renewable Energy Engineer,Green Tech,Berlin,193325,"Climate Data Analysis, Energy Modeling",No,Large,2025-03-22
151,Quantum Researcher,Quantum Computing,Dubai,239742,"Qiskit, Quantum Algorithms",No,Large,2025-10-18
152,Quantum Software Developer,Quantum Computing,Berlin,123810,"Linear Algebra, Quantum Algorithms",Yes,Large,2025-04-24
153,Data Scientist,AI,Berlin,237464,"TensorFlow, Python",Yes,Large,2025-01-09
154,Blockchain Developer,Blockchain,Singapore,195943,"Solidity, Ethereum",No,Medium,2025-10-14
155,ML Researcher,AI,London,144746,"Python, TensorFlow",No,Large,2025-01-23
156,AI Engineer,AI,London,97601,"Python, PyTorch",No,Medium,2025-02-21
157,Sustainability Analyst,Green Tech,New York,72704,"Climate Data Analysis, Energy Modeling",No,Small,2025-04-23
158,Renewable Energy Engineer,Green Tech,Tokyo,181649,"Climate Data Analysis, Energy Modeling",Yes,Medium,2025-07-06
159,ML Researcher,AI,Singapore,175481,"Python, TensorFlow",No,Medium,2025-04-30
160,AI Engineer,AI,Tokyo,160689,"Python, TensorFlow",Yes,Small,2025-02-27
161,Quantum Researcher,Quantum Computing,Dubai,200863,"Quantum Algorithms, Qiskit",Yes,Small,2025-07-13
162,Sustainability Analyst,Green Tech,Singapore,78820,"Climate Data Analysis, Energy Modeling",No,Medium,2025-12-16
163,Quantum Software Developer,Quantum Computing,Tokyo,162922,"Linear Algebra, Quantum Algorithms",No,Small,2025-12-14
164,Quantum Researcher,Quantum Computing,New York,100994,"Quantum Algorithms, Qiskit",No,Small,2025-01-28
165,Quantum Software Developer,Quantum Computing,Berlin,202658,"Qiskit, Linear Algebra",Yes,Medium,2025-05-25
166,AI Engineer,AI,Dubai,202405,"TensorFlow, PyTorch",No,Medium,2025-06-24
167,Quantum Software Developer,Quantum Computing,Berlin,175493,"Quantum Algorithms, Linear Algebra",No,Large,2025-07-03
168,Smart Contract Engineer,Blockchain,Singapore,126396,"Ethereum, Rust",No,Small,2025-03-01
169,Smart Contract Engineer,Blockchain,Singapore,219622,"Rust, Ethereum",No,Small,2025-01-17
170,Renewable Energy Engineer,Green Tech,Singapore,153416,"Climate Data Analysis, Energy Modeling",No,Medium,2025-11-10
171,Quantum Researcher,Quantum Computing,Berlin,98465,"Linear Algebra, Quantum Algorithms",Yes,Large,2025-07-02
172,Smart Contract Engineer,Blockchain,Berlin,117711,"Rust, Ethereum",No,Small,2025-03-05
173,Blockchain Developer,Blockchain,Dubai,218890,"Rust, Ethereum",Yes,Medium,2025-02-23
174,Renewable Energy Engineer,Green Tech,New York,197656,"Climate Data Analysis, Energy Modeling",Yes,Large,2025-06-24
175,Smart Contract Engineer,Blockchain,Singapore,182118,"Ethereum, Solidity",No,Small,2025-07-30
176,Sustainability Analyst,Green Tech,Berlin,73481,"Energy Modeling, Climate Data Analysis",Yes,Large,2025-06-01
177,Blockchain Developer,Blockchain,New York,155470,"Ethereum, Solidity",No,Small,2025-09-24
178,Renewable Energy Engineer,Green Tech,Dubai,129100,"Energy Modeling, Climate Data Analysis",No,Medium,2025-12-12
179,Quantum Researcher,Quantum Computing,London,146322,"Linear Algebra, Qiskit",Yes,Large,2025-01-21
180,Smart Contract Engineer,Blockchain,Dubai,57434,"Ethereum, Solidity",No,Small,2025-06-15
181,Quantum Researcher,Quantum Computing,London,51885,"Quantum Algorithms, Linear Algebra",No,Medium,2025-05-05
182,Quantum Software Developer,Quantum Computing,London,83588,"Quantum Algorithms, Qiskit",Yes,Large,2025-11-14
183,Renewable Energy Engineer,Green Tech,Singapore,141564,"Climate Data Analysis, Energy Modeling",Yes,Large,2025-03-27
184,Quantum Researcher,Quantum Computing,Berlin,229705,"Linear Algebra, Quantum Algorithms",No,Large,2025-04-11
185,Sustainability Analyst,Green Tech,Dubai,86346,"Energy Modeling, Climate Data Analysis",Yes,Medium,2025-09-18
186,ML Researcher,AI,Tokyo,132971,"Python, PyTorch",Yes,Small,2025-07-16
187,Renewable Energy Engineer,Green Tech,Tokyo,168602,"Energy Modeling, Climate Data Analysis",Yes,Small,2025-01-16
188,Quantum Software Developer,Quantum Computing,Tokyo,165036,"Qiskit, Linear Algebra",Yes,Small,2025-08-05
189,Sustainability Analyst,Green Tech,London,149363,"Energy Modeling, Climate Data Analysis",No,Large,2025-09-16
190,Smart Contract Engineer,Blockchain,Dubai,169342,"Solidity, Rust",No,Small,2025-03-14
191,Quantum Researcher,Quantum Computing,London,86692,"Quantum Algorithms, Qiskit",Yes,Medium,2025-10-04
192,Data Scientist,AI,Singapore,178069,"TensorFlow, Python",Yes,Medium,2025-10-02
193,Sustainability Analyst,Green Tech,New York,188115,"Climate Data Analysis, Energy Modeling",Yes,Small,2025-09-28
194,ML Researcher,AI,London,78160,"TensorFlow, Python",Yes,Small,2025-02-01
195,Quantum Software Developer,Quantum Computing,Dubai,223060,"Qiskit, Linear Algebra",No,Small,2025-10-11
196,Smart Contract Engineer,Blockchain,Tokyo,113011,"Solidity, Rust",Yes,Large,2025-09-13
197,Quantum Software Developer,Quantum Computing,Singapore,163975,"Quantum Algorithms, Qiskit",No,Large,2025-02-05
198,Blockchain Developer,Blockchain,New York,154984,"Rust, Ethereum",No,Small,2025-09-16
199,ML Researcher,AI,Singapore,108419,"TensorFlow, Python",Yes,Small,2025-10-13
200,Renewable Energy Engineer,Green Tech,London,141585,"Energy Modeling, Climate Data Analysis",Yes,Large,2025-01-09
201,Smart Contract Engineer,Blockchain,Singapore,162399,"Rust, Solidity",Yes,Large,2025-08-09
202,Smart Contract Engineer,Blockchain,London,235501,"Rust, Ethereum",Yes,Large,2025-03-30
203,Quantum Software Developer,Quantum Computing,Tokyo,155892,"Linear Algebra, Quantum Algorithms",Yes,Large,2025-07-30
204,Smart Contract Engineer,Blockchain,Singapore,79487,"Rust, Solidity",No,Large,2025-06-15
205,Data Scientist,AI,London,208206,"TensorFlow, Python",No,Small,2025-03-15
206,Smart Contract Engineer,Blockchain,Dubai,124758,"Rust, Solidity",Yes,Large,2025-06-19
207,Quantum Software Developer,Quantum Computing,Berlin,66624,"Qiskit, Quantum Algorithms",No,Large,2025-03-11
208,Quantum Software Developer,Quantum Computing,New York,164103,"Quantum Algorithms, Qiskit",Yes,Small,2025-10-07
209,Sustainability Analyst,Green Tech,New York,203897,"Climate Data Analysis, Energy Modeling",Yes,Medium,2025-06-05
210,Smart Contract Engineer,Blockchain,Berlin,65042,"Solidity, Rust",Yes,Medium,2025-08-16
211,Sustainability Analyst,Green Tech,Dubai,121216,"Climate Data Analysis, Energy Modeling",Yes,Large,2025-10-21
212,Quantum Researcher,Quantum Computing,Singapore,215387,"Quantum Algorithms, Qiskit",No,Small,2025-11-30
213,Smart Contract Engineer,Blockchain,London,240101,"Ethereum, Solidity",Yes,Medium,2025-12-30
214,ML Researcher,AI,Dubai,220415,"PyTorch, TensorFlow",No,Large,2025-11-13
215,Sustainability Analyst,Green Tech,Berlin,221994,"Climate Data Analysis, Energy Modeling",Yes,Large,2025-12-15
216,Quantum Researcher,Quantum Computing,Dubai,175521,"Qiskit, Linear Algebra",Yes,Medium,2025-05-02
217,Renewable Energy Engineer,Green Tech,London,97662,"Energy Modeling, Climate Data Analysis",No,Small,2025-02-20
218,Blockchain Developer,Blockchain,Dubai,100205,"Ethereum, Solidity",No,Small,2025-11-07
219,Renewable Energy Engineer,Green Tech,Berlin,188304,"Energy Modeling, Climate Data Analysis",Yes,Large,2025-01-10
220,Blockchain Developer,Blockchain,Berlin,89969,"Ethereum, Rust",Yes,Small,2025-03-31
221,Quantum Researcher,Quantum Computing,London,186919,"Quantum Algorithms, Qiskit",No,Medium,2025-09-29
222,AI Engineer,AI,Dubai,179721,"Python, PyTorch",No,Large,2025-10-16
223,Renewable Energy Engineer,Green Tech,Dubai,170643,"Energy Modeling, Climate Data Analysis",Yes,Small,2025-01-16
224,Sustainability Analyst,Green Tech,Berlin,231713,"Energy Modeling, Climate Data Analysis",No,Medium,2025-08-06
225,Quantum Software Developer,Quantum Computing,Tokyo,103854,"Linear Algebra, Quantum Algorithms",No,Small,2025-09-15
226,Quantum Researcher,Quantum Computing,New York,127374,"Linear Algebra, Quantum Algorithms",No,Medium,2025-05-24
227,Blockchain Developer,Blockchain,Dubai,104431,"Solidity, Rust",Yes,Small,2025-07-17
228,Blockchain Developer,Blockchain,Tokyo,153673,"Rust, Ethereum",No,Large,2025-10-31
229,Sustainability Analyst,Green Tech,Tokyo,152582,"Climate Data Analysis, Energy Modeling",No,Medium,2025-08-26
230,Data Scientist,AI,London,233856,"TensorFlow, PyTorch",Yes,Medium,2025-11-25
231,Blockchain Developer,Blockchain,London,223210,"Ethereum, Rust",No,Medium,2025-03-23
232,Sustainability Analyst,Green Tech,Singapore,174471,"Climate Data Analysis, Energy Modeling",No,Large,2025-04-16
233,Blockchain Developer,Blockchain,Berlin,87352,"Solidity, Rust",Yes,Large,2025-06-02
234,Blockchain Developer,Blockchain,Tokyo,84604,"Ethereum, Rust",Yes,Medium,2025-12-06
235,ML Researcher,AI,Dubai,169919,"Python, PyTorch",No,Small,2025-03-05
236,Quantum Researcher,Quantum Computing,Dubai,167425,"Quantum Algorithms, Qiskit",Yes,Large,2025-10-23
237,Blockchain Developer,Blockchain,Dubai,147685,"Rust, Ethereum",Yes,Small,2025-06-07
238,Sustainability Analyst,Green Tech,Berlin,121292,"Climate Data Analysis, Energy Modeling",No,Medium,2025-05-29
239,Blockchain Developer,Blockchain,New York,201356,"Solidity, Ethereum",No,Small,2025-04-22
240,Quantum Software Developer,Quantum Computing,London,171712,"Qiskit, Quantum Algorithms",Yes,Small,2025-05-12
241,Data Scientist,AI,New York,70577,"TensorFlow, Python",No,Small,2025-08-11
242,ML Researcher,AI,London,199785,"PyTorch, TensorFlow",No,Medium,2025-08-01
243,Renewable Energy Engineer,Green Tech,New York,82221,"Climate Data Analysis, Energy Modeling",No,Medium,2025-09-26
244,Renewable Energy Engineer,Green Tech,Dubai,195969,"Energy Modeling, Climate Data Analysis",No,Medium,2025-02-02
245,Blockchain Developer,Blockchain,Berlin,162050,"Rust, Ethereum",No,Medium,2025-06-30
246,Sustainability Analyst,Green Tech,Berlin,194488,"Climate Data Analysis, Energy Modeling",Yes,Small,2025-10-18
247,Data Scientist,AI,Tokyo,107470,"TensorFlow, Python",No,Medium,2025-01-26
248,Data Scientist,AI,London,213416,"Python, PyTorch",Yes,Small,2025-04-09
249,Blockchain Developer,Blockchain,Berlin,214218,"Rust, Ethereum",Yes,Large,2025-12-15
250,Sustainability Analyst,Green Tech,Dubai,55485,"Climate Data Analysis, Energy Modeling",Yes,Small,2025-08-31
251,Smart Contract Engineer,Blockchain,Singapore,163716,"Ethereum, Solidity",No,Medium,2025-04-21
252,Quantum Researcher,Quantum Computing,London,238275,"Quantum Algorithms, Qiskit",Yes,Medium,2025-07-22
253,Sustainability Analyst,Green Tech,London,114598,"Energy Modeling, Climate Data Analysis",No,Medium,2025-11-04
254,Renewable Energy Engineer,Green Tech,Singapore,223986,"Climate Data Analysis, Energy Modeling",No,Small,2025-12-16
255,Blockchain Developer,Blockchain,London,158911,"Ethereum, Solidity",No,Medium,2025-08-29
256,Quantum Software Developer,Quantum Computing,Berlin,123935,"Quantum Algorithms, Qiskit",No,Small,2025-07-11
257,ML Researcher,AI,London,162536,"PyTorch, Python",Yes,Small,2025-04-08
258,Quantum Researcher,Quantum Computing,New York,161797,"Qiskit, Linear Algebra",Yes,Large,2025-10-08
259,AI Engineer,AI,Dubai,53672,"PyTorch, TensorFlow",Yes,Small,2025-04-05
260,Quantum Software Developer,Quantum Computing,Berlin,206868,"Linear Algebra, Qiskit",No,Large,2025-02-08
261,Quantum Researcher,Quantum Computing,New York,184640,"Linear Algebra, Quantum Algorithms",No,Medium,2025-05-04
262,Blockchain Developer,Blockchain,New York,198679,"Ethereum, Rust",No,Medium,2025-01-13
263,Blockchain Developer,Blockchain,Singapore,202663,"Solidity, Rust",Yes,Medium,2025-02-17
